Table Name,dl_config_ant_grp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Description,message for DL configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single entry bitwidth,32 * 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base type bit layout,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
Bit Field Width,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Name,,,drf_rate,,,,,,,,DIGRF_MIXER_FREQ,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Description,,,"index to table com_drf_rate_conf_lut, for DRF operation clock, PLL, and sample rates",,,,,,,,DRF mixing frequency,,,,,,,,,,,,,,,,,,,,,,,
Unit [string],,,value,,,,,,,,KHz,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,128,,,,,,,,16777215,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,unsigned,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Width,,,8,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Name,,,drf_filter_mode,fifo_delay,,,,pdpd_delay,,,,pdpd_mode,,,pdpd_rate,,,HW_TDD,ANT_GROUP_DL_ANT_MASK,,,,,,,,,,,,,,,
Bit Field Description,,,"specifying DRF filter mod: 0 auto, 1:manual","index to table tx_v2d_start_dly_lut, for FIFO related delay settings",,,,"index to table tx_pdpd_dly_lut, for PDPD related delay info",,,,"index to table  tx_pdpd_mod_lut, specifying PDPD mod",,,index to table tx_pdpd_pc_sel_lut for PDPD rate selection in specific operating mod,,,Select HW/SW TDD,the mask reflects the antennas enabled,,,,,,,,,,,,,,,
Unit [string],,,bit,value,,,,value,,,,value,,,value,,,value,,,,,,,,,,,,,,,,
Granularity,,,1,1,,,,1,,,,1,,,1,,,1,1,,,,,,,,,,,,,,,
Minimum Value,,,0,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,
Maximum Value,,,1,,,,,,,,,7,,,7,,,1,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,unsigned,,,,unsigned,,,,unsigned,,,unsigned,,,unsigned,unsigned,,,,,,,,,,,,,,,
Bit Field Width,,,1,4,,,,4,,,,3,,,3,,,1,16,,,,,,,,,,,,,,,
Bit Field Name,,,JESD_LATENCY,,,,,,,,,,,,,,,,Q3_J,,Q2_J,,Q1_J,,Q0_J,,JESD_DL_IDX,,,,,,,
Bit Field Description,,,jesd latency in ns from JESD to antenna,,,,,,,,,,,,,,,,indicates which JESD link is used to source data for quad 3,,indicates which JESD link is used to source data for quad 2,,indicates which JESD link is used to source data for quad 1,,indicates which JESD link is used to source data for quad 0,,index into JESD config table,,,,,,,
Unit [string],,,ns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Maximum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,,,,,,,unsigned,,unsigned,,unsigned,,unsigned,,unsigned,,,,,,,
Bit Field Width,,,16,,,,,,,,,,,,,,,,2,,2,,2,,2,,8,,,,,,,
Bit Field Name,,,res_191_172,,,,,,,,,,,,,,,,,,,,FBR_IDX,,,,,,,,FBR_MASK,,,
Bit Field Description,,,reserved,,,,,,,,,,,,,,,,,,,,Index into the FBR configuration table,,,,,,,,indicates the FBRs used for the band config,,,
Unit [string],,,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,,,,,,,,,,,unsigned,,,,,,,,unsigned,,,
Bit Field Width,,,20,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,,
Bit Field Name,,,res_223_208,,,,,,,,,,,,,,,,VHA_DL_LATENCY,,,,,,,,,,,,,,,
Bit Field Description,,,reserved,,,,,,,,,,,,,,,,Latency in ns from output of VHA to antenna,,,,,,,,,,,,,,,
Unit [string],,,value,,,,,,,,,,,,,,,,ns,,,,,,,,,,,,,,,
Granularity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,,,,,,,unsigned,,,,,,,,,,,,,,,
Bit Field Width,,,16,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,
Bit Field Name,,,strm_cfg,,,,vha_rate,,,,ant_group_dl_band_freq0,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Description,,,index to table com_v2d_strm_cfg_lut for STREAM related info,,,,vha rate selection to table com_vha_rate_conf_lut,,,,Center channel frequency for band 0 during band combining(VHA),,,,,,,,,,,,,,,,,,,,,,,
Unit [string],,,value,,,,value,,,,KHz,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,10,,,,16777215,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,unsigned,,,,unsigned,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Width,,,4,,,,4,,,,24,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Name,,,res_287,topology,,,pdpd_op_mode,,VHA_DL_XN_EN,vha_filter_mode,ant_group_dl_band_freq1,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Description,,,reserved,"index to tx_topology_lut, for topology related info",,,"index to table tx_pdpd_pc_sel_lut, specifying PDPD operation mod",,Enable X/duplicate data path for DPD learning,"specifies the filter mode enabled in HW accelerator, 0:auto, 1:manual",Center channel frequency for band 1 during band combining(VHA),,,,,,,,,,,,,,,,,,,,,,,
Unit [string],,,value,,,,value,,,bit,KHz,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,2,,,1,16777215,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,unsigned,,,unsigned,,unsigned,unsigned,unsigned,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Width,,,1,3,,,2,,1,1,24,,,,,,,,,,,,,,,,,,,,,,,
